question,answer,text
What is the name of the place where students buy their school supplies?,Diagon Alley,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the place where students buy their school supplies? [/INST] Diagon Alley </s>
What did Wendelin do to make sure she wasn't recognized?,Wore disguises.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What did Wendelin do to make sure she wasn't recognized? [/INST] Wore disguises. </s>
What is the name of the spell used to disarm an opponent?,Expelliarmus,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to disarm an opponent? [/INST] Expelliarmus </s>
What impact does Harry’s friendship with Hermione have on his understanding of empathy and compassion?,It helps him see the world from different perspectives and develop a deeper sense of empathy and understanding for others.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What impact does Harry’s friendship with Hermione have on his understanding of empathy and compassion? [/INST] It helps him see the world from different perspectives and develop a deeper sense of empathy and understanding for others. </s>
What is the name of the magical object that is used to store and transport belongings?,Hermione's Bag,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical object that is used to store and transport belongings? [/INST] Hermione's Bag </s>
Who killed the Grey Lady?,The Bloody Baron,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who killed the Grey Lady? [/INST] The Bloody Baron </s>
How often does a Streeler's shell change colour?,Every Hour,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: How often does a Streeler's shell change colour? [/INST] Every Hour </s>
What is the name of the magical creature that resembles a large dog and guards the grounds of Hogwarts?,Hippogriff,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical creature that resembles a large dog and guards the grounds of Hogwarts? [/INST] Hippogriff </s>
What is the name of the street where the Dursleys live?,Privet Drive,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the street where the Dursleys live? [/INST] Privet Drive </s>
"What is the name of the magical object that Harry inherits from his father, James Potter?",Invisibility Cloak,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical object that Harry inherits from his father, James Potter? [/INST] Invisibility Cloak </s>"
Who is the Slytherin ghost?,The Bloody Baron,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who is the Slytherin ghost? [/INST] The Bloody Baron </s>
What charm creates water?,Aguamenti,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What charm creates water? [/INST] Aguamenti </s>
What is the name of the house-elf who serves the Hogwarts kitchens?,Dobby,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the house-elf who serves the Hogwarts kitchens? [/INST] Dobby </s>
What is Aberforth Dumbledore's role in the series?,He is the owner of the Hog's Head Inn and Albus Dumbledore's younger brother.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is Aberforth Dumbledore's role in the series? [/INST] He is the owner of the Hog's Head Inn and Albus Dumbledore's younger brother. </s>
What is the name of the potion that allows the drinker to breathe underwater?,Gillyweed,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the potion that allows the drinker to breathe underwater? [/INST] Gillyweed </s>
What did Harry Potter's aunt and uncle say his parents passed from?,In a traffic accident,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What did Harry Potter's aunt and uncle say his parents passed from? [/INST] In a traffic accident </s>
What is the name of the gamekeeper at Hogwarts?,Rubeus Hagrid,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the gamekeeper at Hogwarts? [/INST] Rubeus Hagrid </s>
What is the name of the wizarding hospital in London?,St. Mungo's Hospital for Magical Maladies and Injuries,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the wizarding hospital in London? [/INST] St. Mungo's Hospital for Magical Maladies and Injuries </s>
How does Dumbledore’s relationship with Harry influence his understanding of power and authority?,It teaches him that true power comes from using one’s influence for the greater good and making difficult choices for the sake of others.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: How does Dumbledore’s relationship with Harry influence his understanding of power and authority? [/INST] It teaches him that true power comes from using one’s influence for the greater good and making difficult choices for the sake of others. </s>
What is the name of the Minister of Magic who succeeded Cornelius Fudge?,Rufus Scrimgeour,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the Minister of Magic who succeeded Cornelius Fudge? [/INST] Rufus Scrimgeour </s>
How is Quodpot different from Quidditch?,The ball explodes,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: How is Quodpot different from Quidditch? [/INST] The ball explodes </s>
What is the name of the creature that is a cross between a horse and a fish?,Hippocampus,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the creature that is a cross between a horse and a fish? [/INST] Hippocampus </s>
"In which place does Harry meet Sirius Black in ""Harry Potter and the Prisoner of Azkaban""?",The Shrieking Shack.,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: In which place does Harry meet Sirius Black in ""Harry Potter and the Prisoner of Azkaban""? [/INST] The Shrieking Shack. </s>"
Which of the following traits does the Occamy exhibit?,Choranaptyxis,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which of the following traits does the Occamy exhibit? [/INST] Choranaptyxis </s>
What Hogwarts house was Uric the Oddball in?,Ravenclaw,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What Hogwarts house was Uric the Oddball in? [/INST] Ravenclaw </s>
What is the name of the gamekeeper at Hogwarts?,Rubeus Hagrid,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the gamekeeper at Hogwarts? [/INST] Rubeus Hagrid </s>
Who is the author of 'A History of Magic'?,Bathilda Bagshot,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who is the author of 'A History of Magic'? [/INST] Bathilda Bagshot </s>
What is the biggest Quidditch event?,World Cup,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the biggest Quidditch event? [/INST] World Cup </s>
What is the full name of Nearly Headless Nick?,Sir Nicholas de Mimsy-Porpington,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the full name of Nearly Headless Nick? [/INST] Sir Nicholas de Mimsy-Porpington </s>
What position did Cho Chang play on the Ravenclaw Quidditch team?,Seeker,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What position did Cho Chang play on the Ravenclaw Quidditch team? [/INST] Seeker </s>
What is the name of the tree that Harry and Ron crash into with the flying car?,Whomping Willow,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the tree that Harry and Ron crash into with the flying car? [/INST] Whomping Willow </s>
Where are the vaults kept in Gringotts Bank?,Deep underground.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Where are the vaults kept in Gringotts Bank? [/INST] Deep underground. </s>
Where is the British and Irish Quidditch League Headquarters located?,The Ministry of Magic,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Where is the British and Irish Quidditch League Headquarters located? [/INST] The Ministry of Magic </s>
What is the name of the magical creature that resembles a large snake?,Basilisk,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical creature that resembles a large snake? [/INST] Basilisk </s>
What is the name of the spell used to make objects smaller?,Reducio,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to make objects smaller? [/INST] Reducio </s>
What spell turns an object into stone?,Duro,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What spell turns an object into stone? [/INST] Duro </s>
